job,education,y,duration_norm,pdays_norm,previous_norm,campaign_norm,balance_norm
"technician","secondary",0,0.787779,0.000000,0.000000,0.000000,0.479568
"blue","primary",0,0.159108,0.000000,0.000000,0.000000,0.439061
"services","secondary",0,0.379337,0.000000,0.000000,0.000000,0.468675
"blue","tertiary",0,0.346351,0.000000,0.000000,0.000000,0.433861
"management","tertiary",0,0.088286,0.000000,0.000000,0.000000,0.782875
"retired","tertiary",0,0.512250,0.000000,0.000000,0.000000,0.430905
"management","tertiary",0,0.264857,0.000000,0.000000,0.000000,0.428661
"technician","secondary",0,0.153287,0.000000,0.000000,0.090433,0.491391
"blue","secondary",0,0.171720,0.000000,0.000000,0.000000,1.000000
"blue","secondary",0,0.250304,0.000000,0.000000,0.000000,0.750305
"services","secondary",0,0.166869,0.000000,0.000000,0.000000,0.426799
"management","secondary",0,0.149406,0.000000,0.000000,0.000000,0.440867
"blue","primary",0,0.282320,0.000000,0.000000,0.000000,0.426690
"technician","secondary",0,0.175601,0.000000,0.000000,0.000000,0.531460
"technician","secondary",0,0.170750,0.000000,0.000000,0.000000,0.446451
"blue","secondary",0,0.204706,0.000000,0.000000,0.000000,0.457289
"services","secondary",0,0.338590,0.000000,0.000000,0.000000,0.430412
"services","secondary",0,0.263886,0.000000,0.000000,0.000000,0.425431
"services","secondary",0,0.201795,0.000000,0.000000,0.000000,0.425486
"admin","secondary",0,0.187243,0.000000,0.000000,0.000000,0.436707
"services","secondary",0,0.205676,0.000000,0.000000,0.000000,0.434408
"technician","secondary",0,0.019403,0.000000,0.000000,0.000000,0.463201
"admin","secondary",1,1.000000,0.000000,0.000000,0.000000,0.553684
"self","tertiary",0,0.238662,0.000000,0.000000,0.000000,0.432930
"blue","primary",0,0.513220,0.000000,0.000000,0.090433,0.434901
"admin","secondary",1,1.000000,0.000000,0.000000,0.000000,0.427894
"technician","secondary",1,1.000000,0.000000,0.000000,0.000000,0.494949
"management","secondary",0,0.182392,0.000000,0.000000,0.090433,0.426307
"retired","secondary",0,0.174631,0.000000,0.000000,0.090433,0.452034
"management","secondary",0,0.046568,0.000000,0.000000,0.000000,0.428168
"technician","secondary",0,0.206646,0.000000,0.000000,0.090433,0.433751
"admin","secondary",0,0.565609,0.000000,0.000000,0.000000,0.441305
"blue","tertiary",0,0.214408,0.000000,0.000000,0.000000,0.428387
"entrepreneur","secondary",0,0.167840,0.000000,0.000000,0.000000,0.423406
"management","tertiary",0,0.413293,0.000000,0.000000,0.000000,0.430960
"blue","secondary",0,0.278439,0.000000,0.000000,0.000000,0.446396
"retired","tertiary",0,0.097987,0.000000,0.000000,0.000000,0.429865
"technician","secondary",0,0.196945,0.000000,0.000000,0.000000,0.425431
"management","tertiary",0,0.191124,0.000000,0.000000,0.000000,0.437966
"blue","secondary",0,0.249334,0.000000,0.000000,0.000000,0.388537
"blue","primary",0,0.120301,0.000000,0.000000,0.000000,0.430357
"blue","primary",0,0.222169,0.000000,0.000000,0.000000,0.432437
"blue","primary",0,0.053359,0.000000,0.000000,0.180866,0.435229
"technician","tertiary",0,0.388068,0.000000,0.000000,0.000000,0.425431
"blue","secondary",0,0.191124,0.000000,0.000000,0.000000,0.428387
"technician","tertiary",0,0.184332,0.000000,0.000000,0.000000,0.433696
"admin","secondary",0,0.020374,0.000000,0.000000,0.000000,0.428770
"retired","secondary",0,0.498668,0.000000,0.000000,0.000000,0.427073
"management","tertiary",0,0.823675,0.000000,0.000000,0.090433,0.454059
"services","secondary",0,0.188213,0.000000,0.000000,0.000000,0.427128
"technician","secondary",0,0.139705,0.000000,0.000000,0.000000,0.429755
"self","primary",0,0.205676,0.000000,0.000000,0.090433,0.423570
"blue","primary",0,0.277469,0.000000,0.000000,0.000000,0.449954
"retired","primary",0,0.103808,0.000000,0.000000,0.000000,0.429865
"blue","secondary",0,0.239632,0.000000,0.000000,0.090433,0.433313
"admin","secondary",0,0.502548,0.000000,0.000000,0.000000,0.444644
"management","tertiary",0,0.353142,0.000000,0.000000,0.000000,0.421763
"management","tertiary",0,0.172690,0.000000,0.000000,0.000000,0.439772
"technician","primary",0,0.095077,0.000000,0.000000,0.000000,0.425431
"technician","tertiary",0,0.425905,0.000000,0.000000,0.000000,0.428496
"blue","secondary",0,0.076643,0.000000,0.000000,0.000000,0.426854
"admin","tertiary",0,0.116420,0.000000,0.000000,0.180866,0.425595
"services","secondary",0,0.123212,0.000000,0.000000,0.090433,0.427675
"technician","tertiary",0,0.169780,0.000000,0.000000,0.000000,0.425814
"technician","secondary",0,0.254185,0.000000,0.000000,0.090433,0.431179
"admin","secondary",0,0.059180,0.000000,0.000000,0.000000,0.470207
"services","secondary",0,0.075673,0.000000,0.000000,0.000000,0.424555
"blue","secondary",0,0.138734,0.000000,0.000000,0.000000,0.425431
"services","secondary",1,0.561729,0.000000,0.000000,0.000000,0.560964
"management","tertiary",0,0.656806,0.000000,0.000000,0.000000,0.490296
"admin","secondary",0,0.334709,0.000000,0.000000,0.000000,0.437309
"technician","secondary",0,0.179482,0.000000,0.000000,0.000000,0.517666
"admin","secondary",0,0.097017,0.000000,0.000000,0.090433,0.469331
"unemployed","tertiary",0,0.121271,0.000000,0.000000,0.090433,0.425431
"blue","secondary",0,0.187243,0.000000,0.000000,0.000000,0.430576
"technician","secondary",0,0.131943,0.000000,0.000000,0.000000,0.425431
"services","tertiary",0,0.070822,0.000000,0.000000,0.000000,0.425431
"blue","secondary",0,0.512250,0.000000,0.000000,0.000000,0.453731
"blue","secondary",0,0.524862,0.000000,0.000000,0.000000,0.439937
"housemaid","primary",0,0.158138,0.000000,0.000000,0.000000,0.477269
"self","secondary",0,0.292021,0.000000,0.000000,0.000000,0.425595
"unemployed","tertiary",0,0.044628,0.000000,0.000000,0.000000,0.427730
"blue","secondary",0,0.197915,0.000000,0.000000,0.000000,0.427456
"blue","secondary",0,0.095077,0.000000,0.000000,0.000000,0.428551
"services","secondary",0,0.068882,0.000000,0.000000,0.000000,0.426635
"blue","primary",0,0.152317,0.000000,0.000000,0.090433,0.425869
"unemployed","secondary",0,0.235751,0.000000,0.000000,0.000000,0.441469
"services","primary",0,0.180452,0.000000,0.000000,0.090433,0.425595
"blue","primary",0,0.561729,0.000000,0.000000,0.090433,0.444480
"blue","tertiary",0,0.158138,0.000000,0.000000,0.090433,0.424391
"student","secondary",0,0.591804,0.000000,0.000000,0.090433,0.425431
"management","tertiary",0,1.000000,0.000000,0.000000,0.000000,0.425212
"management","secondary",0,0.082465,0.000000,0.000000,0.000000,0.426416
"technician","primary",0,0.110599,0.000000,0.000000,0.090433,0.433040
"services","secondary",0,0.110599,0.000000,0.000000,0.090433,0.425431
"blue","tertiary",0,0.055300,0.000000,0.000000,0.000000,0.528504
"retired","secondary",0,0.230901,0.000000,0.000000,0.000000,0.437255
"blue","secondary",0,0.090226,0.000000,0.000000,0.180866,0.468237
"blue","secondary",0,0.124182,0.000000,0.000000,0.090433,0.474915
"services","tertiary",0,0.103808,0.000000,0.000000,0.000000,0.518760
"technician","tertiary",0,0.175601,0.000000,0.000000,0.000000,0.428004
"services","secondary",0,0.293962,0.000000,0.000000,0.090433,0.435065
"blue","secondary",0,0.541355,0.000000,0.000000,0.361732,0.492486
"technician","secondary",0,0.261946,0.000000,0.000000,0.000000,0.430138
"admin","secondary",0,0.221199,0.000000,0.000000,0.000000,0.429920
"management","tertiary",0,0.096047,0.000000,0.000000,0.000000,0.440265
"technician","secondary",0,0.232841,0.000000,0.000000,0.000000,0.500861
"admin","tertiary",1,0.652925,0.000000,0.000000,0.090433,0.435503
"blue","primary",0,0.226050,0.000000,0.000000,0.180866,0.425431
"blue","secondary",0,1.000000,0.000000,0.000000,0.000000,0.425431
"services","secondary",0,0.242543,0.000000,0.000000,0.000000,0.499711
"entrepreneur","tertiary",0,0.244483,0.000000,0.000000,0.000000,0.426471
"retired","primary",0,0.133884,0.000000,0.000000,0.000000,0.449188
"admin","secondary",0,0.126122,0.000000,0.000000,0.000000,0.430467
"admin","secondary",0,0.399710,0.000000,0.000000,0.000000,0.488435
"unemployed","secondary",0,0.173661,0.000000,0.000000,0.090433,0.427675
"technician","secondary",0,0.018433,0.000000,0.000000,0.090433,0.428223
"services","secondary",0,0.444338,0.000000,0.000000,0.090433,0.437145
"management","secondary",0,0.695612,0.000000,0.000000,0.000000,0.488983
"services","tertiary",0,0.303663,0.000000,0.000000,0.000000,0.427456
"technician","secondary",0,0.662627,0.000000,0.000000,0.090433,0.468510
"services","secondary",0,1.000000,0.000000,0.000000,0.000000,0.428661
"technician","secondary",0,0.403591,0.000000,0.000000,0.000000,0.439280
"admin","tertiary",0,0.141645,0.000000,0.000000,0.090433,0.436981
"retired","primary",0,0.162018,0.000000,0.000000,0.000000,0.438295
"services","tertiary",0,0.305604,0.000000,0.000000,0.000000,0.665406
"management","secondary",0,0.135824,0.000000,0.000000,0.000000,0.648765
"blue","secondary",0,0.335679,0.000000,0.000000,0.000000,0.428332
"management","tertiary",0,0.545236,0.000000,0.000000,0.000000,0.425431
"retired","secondary",0,0.166869,0.000000,0.000000,0.000000,0.541860
"management","tertiary",0,0.210527,0.000000,0.000000,0.000000,0.446067
"management","tertiary",0,0.137764,0.000000,0.000000,0.090433,0.429427
"admin","secondary",0,0.065001,0.000000,0.000000,0.000000,0.449790
"blue","secondary",0,0.282320,0.000000,0.000000,0.000000,0.438732
"blue","secondary",0,0.299783,0.000000,0.000000,0.090433,0.442236
"services","secondary",0,0.240602,0.000000,0.000000,0.000000,0.433915
"technician","tertiary",0,0.095077,0.000000,0.000000,0.000000,0.434901
"management","tertiary",0,0.248364,0.000000,0.000000,0.000000,0.447326
"blue","primary",0,0.079554,0.000000,0.000000,0.090433,0.503598
"admin","secondary",0,0.559788,0.000000,0.000000,0.000000,0.437419
"self","tertiary",0,0.277469,0.000000,0.000000,0.000000,0.425814
"blue","secondary",0,0.462771,0.000000,0.000000,0.000000,0.456906
"student","tertiary",0,0.592774,0.000000,0.000000,0.090433,0.441743
"services","secondary",0,0.456950,0.000000,0.000000,0.000000,0.425431
"services","secondary",0,0.369635,0.000000,0.000000,0.090433,0.737387
"management","tertiary",0,0.040747,0.000000,0.000000,0.000000,0.435065
"management","tertiary",0,0.243513,0.000000,0.000000,0.000000,0.453731
"services","tertiary",0,0.395830,0.000000,0.000000,0.000000,0.439499
"retired","secondary",0,0.208587,0.000000,0.000000,0.000000,0.428496
"blue","secondary",0,0.278439,0.000000,0.000000,0.000000,0.404083
"retired","secondary",0,0.209557,0.000000,0.000000,0.090433,0.443495
"housemaid","primary",0,0.355082,0.000000,0.000000,0.090433,0.436105
"services","secondary",0,0.203736,0.000000,0.000000,0.000000,0.441907
"blue","primary",0,0.279409,0.000000,0.000000,0.000000,0.423187
"technician","tertiary",0,0.162989,0.000000,0.000000,0.000000,0.451870
"self","tertiary",0,0.327918,0.000000,0.000000,0.090433,0.426964
"unemployed","tertiary",0,0.397770,0.000000,0.000000,0.180866,0.426143
"housemaid","primary",0,0.171720,0.000000,0.000000,0.000000,0.478254
"management","tertiary",0,0.123212,0.000000,0.000000,0.090433,0.446122
"unemployed","secondary",0,0.346351,0.000000,0.000000,0.000000,0.437419
"blue","primary",0,0.169780,0.000000,0.000000,0.000000,0.443166
"entrepreneur","secondary",0,0.291051,0.000000,0.000000,0.000000,0.421654
"retired","secondary",0,0.131943,0.000000,0.000000,0.000000,0.425431
"technician","tertiary",0,1.000000,0.000000,0.000000,0.000000,0.436652
"blue","primary",0,0.121271,0.000000,0.000000,0.090433,0.440648
"management","tertiary",0,0.206646,0.000000,0.000000,0.180866,0.483728
"management","tertiary",0,0.026195,0.000000,0.000000,0.000000,0.427292
"blue","tertiary",0,0.230901,0.000000,0.000000,0.090433,0.481976
"services","secondary",0,0.120301,0.000000,0.000000,0.000000,0.505733
"blue","primary",0,0.017463,0.000000,0.000000,0.000000,0.424774
"services","secondary",0,0.708225,0.000000,0.000000,0.090433,0.446670
"entrepreneur","secondary",0,0.723747,0.000000,0.000000,0.090433,0.441524
"blue","tertiary",0,0.117391,0.000000,0.000000,0.000000,0.525439
"blue","primary",0,0.239632,0.000000,0.000000,0.000000,0.459752
"blue","primary",0,0.038807,0.000000,0.000000,0.000000,0.426799
"admin","secondary",0,0.175601,0.000000,0.000000,0.090433,0.442674
"blue","primary",0,0.076643,0.000000,0.000000,0.000000,0.425431
"admin","secondary",0,0.199855,0.000000,0.000000,0.000000,0.429044
"blue","primary",0,0.377396,0.000000,0.000000,0.000000,0.424938
"technician","secondary",0,0.123212,0.000000,0.000000,0.000000,0.444535
"entrepreneur","tertiary",0,0.681060,0.000000,0.000000,0.000000,0.430905
"admin","secondary",0,0.146496,0.000000,0.000000,0.000000,0.425431
"technician","secondary",0,0.113510,0.000000,0.000000,0.000000,0.449188
"management","tertiary",0,0.225080,0.000000,0.000000,0.180866,0.602620
"management","tertiary",0,0.395830,0.000000,0.000000,0.090433,0.440484
"blue","secondary",0,0.173661,0.000000,0.000000,0.090433,0.425431
"management","tertiary",0,0.037837,0.000000,0.000000,0.000000,0.436762
"blue","secondary",0,0.273588,0.000000,0.000000,0.000000,0.451870
"services","secondary",0,0.692702,0.000000,0.000000,0.090433,0.548484
"admin","secondary",0,0.048509,0.000000,0.000000,0.000000,0.448859
"blue","secondary",0,0.175601,0.000000,0.000000,0.000000,0.425431
"services","secondary",0,0.137764,0.000000,0.000000,0.000000,0.425431
"technician","secondary",0,0.220229,0.000000,0.000000,0.000000,0.433094
"management","tertiary",0,0.115450,0.000000,0.000000,0.000000,0.441688
"blue","primary",0,0.350232,0.000000,0.000000,0.000000,0.440703
"entrepreneur","secondary",0,0.070822,0.000000,0.000000,0.180866,0.474751
"technician","secondary",0,0.065001,0.000000,0.000000,0.090433,0.566274
"services","secondary",0,0.339560,0.000000,0.000000,0.000000,0.433259
"blue","secondary",0,0.322097,0.000000,0.000000,0.090433,0.451432
"blue","secondary",0,0.592774,0.000000,0.000000,0.090433,0.429263
"management","tertiary",0,0.109629,0.000000,0.000000,0.090433,0.442838
"technician","secondary",0,0.128063,0.000000,0.000000,0.000000,0.440484
"management","tertiary",0,0.056270,0.000000,0.000000,0.180866,0.466047
"entrepreneur","primary",0,0.146496,0.000000,0.000000,0.000000,0.438349
"student","tertiary",0,0.086345,0.000000,0.000000,0.090433,0.426799
"management","tertiary",0,0.147466,0.000000,0.000000,0.000000,0.458274
"admin","secondary",0,0.592774,0.000000,0.000000,0.090433,0.406327
"blue","primary",0,0.106719,0.000000,0.000000,0.090433,0.435448
"blue","primary",0,0.449189,0.000000,0.000000,0.000000,0.425431
"management","tertiary",1,0.545236,0.000000,0.000000,0.090433,0.425431
"blue","primary",0,0.933304,0.000000,0.000000,0.000000,0.425431
"technician","secondary",0,0.009702,0.000000,0.000000,0.271299,0.484439
"entrepreneur","secondary",0,0.114480,0.000000,0.000000,0.180866,0.433915
"admin","secondary",0,0.089256,0.000000,0.000000,0.090433,0.435831
"retired","secondary",0,0.138734,0.000000,0.000000,0.180866,0.442893
"services","secondary",0,0.183362,0.000000,0.000000,0.180866,0.415304
"services","secondary",0,0.227020,0.000000,0.000000,0.090433,0.428004
"services","secondary",0,0.072763,0.000000,0.000000,0.090433,0.456632
"self","tertiary",0,0.183362,0.000000,0.000000,0.090433,0.426471
"blue","primary",0,0.602476,0.000000,0.000000,0.180866,0.428770
"admin","secondary",0,0.053359,0.000000,0.000000,0.090433,0.422037
"technician","tertiary",0,0.300753,0.000000,0.000000,0.271299,0.439554
"blue","primary",0,0.151347,0.000000,0.000000,0.090433,0.429591
"blue","secondary",0,0.004851,0.000000,0.000000,0.090433,0.425431
"admin","secondary",0,0.218288,0.000000,0.000000,0.090433,0.444699
"admin","secondary",0,0.121271,0.000000,0.000000,0.090433,0.445575
"technician","tertiary",0,0.001940,0.000000,0.000000,0.180866,0.443987
"blue","secondary",0,0.277469,0.000000,0.000000,0.090433,0.498288
"self","secondary",0,0.159108,0.000000,0.000000,0.090433,0.462215
"management","tertiary",0,0.095077,0.000000,0.000000,0.090433,0.428606
"technician","tertiary",0,0.719867,0.000000,0.000000,0.090433,0.449899
"student","secondary",0,0.219259,0.000000,0.000000,0.180866,0.448585
"management","tertiary",0,0.116420,0.000000,0.000000,0.090433,0.425431
"technician","secondary",0,0.351202,0.000000,0.000000,0.271299,0.426471
"technician","primary",0,0.346351,0.000000,0.000000,0.090433,0.426143
"blue","secondary",0,0.194034,0.000000,0.000000,0.090433,0.425595
"student","secondary",0,0.197915,0.000000,0.000000,0.090433,0.429920
"blue","primary",0,0.122241,0.000000,0.000000,0.180866,0.426964
"technician","secondary",0,0.063061,0.000000,0.000000,0.090433,0.468784
"blue","tertiary",0,0.103808,0.000000,0.000000,0.090433,0.447764
"admin","secondary",0,0.259036,0.000000,0.000000,0.090433,0.454497
"retired","secondary",0,0.240602,0.000000,0.000000,0.090433,0.436981
"services","secondary",0,0.208587,0.000000,0.000000,0.090433,0.428825
"services","tertiary",0,0.202766,0.000000,0.000000,0.090433,0.439499
"technician","secondary",0,0.198885,0.000000,0.000000,0.090433,0.492979
"management","tertiary",0,0.080524,0.000000,0.000000,0.090433,0.442564
"blue","secondary",0,0.102838,0.000000,0.000000,0.180866,0.430303
"blue","secondary",0,0.183362,0.000000,0.000000,0.090433,0.432492
"management","tertiary",0,0.101868,0.000000,0.000000,0.090433,0.425431
"admin","secondary",0,0.102838,0.000000,0.000000,0.090433,0.444754
"technician","tertiary",0,0.104778,0.000000,0.000000,0.090433,0.472014
"services","primary",0,0.301723,0.000000,0.000000,0.090433,0.430686
"services","secondary",0,0.207617,0.000000,0.000000,0.090433,0.447217
"admin","tertiary",0,0.128063,0.000000,0.000000,0.090433,0.435996
"admin","secondary",0,0.347321,0.000000,0.000000,0.090433,0.405834
"blue","secondary",0,0.439487,0.000000,0.000000,0.090433,0.454935
"technician","secondary",0,0.353142,0.000000,0.000000,0.090433,0.425431
"retired","primary",0,0.131943,0.000000,0.000000,0.090433,0.425431
"blue","secondary",0,0.374486,0.000000,0.000000,0.090433,0.452253
"blue","secondary",0,0.167840,0.000000,0.000000,0.090433,0.425431
"blue","tertiary",0,0.233811,0.000000,0.000000,0.090433,0.447491
"management","secondary",0,0.217318,0.000000,0.000000,0.180866,0.434244
"technician","tertiary",0,0.143585,0.000000,0.000000,0.090433,0.565453
"admin","secondary",0,0.190153,0.000000,0.000000,0.090433,0.430795
"management","tertiary",0,0.107689,0.000000,0.000000,0.271299,0.431726
"blue","secondary",0,0.224109,0.000000,0.000000,0.180866,0.449297
"technician","tertiary",0,0.306574,0.000000,0.000000,0.180866,0.470919
"technician","tertiary",0,0.209557,0.000000,0.000000,0.180866,0.436707
"blue","secondary",0,0.232841,0.000000,0.000000,0.090433,0.441305
"blue","secondary",0,0.649044,0.000000,0.000000,0.180866,0.425486
"blue","tertiary",0,0.412323,0.000000,0.000000,0.090433,0.428551
"blue","secondary",0,0.138734,0.000000,0.000000,0.090433,0.400415
"management","tertiary",0,0.168810,0.000000,0.000000,0.361732,0.501354
"management","tertiary",0,0.303663,0.000000,0.000000,0.180866,1.000000
"blue","secondary",0,0.130973,0.000000,0.000000,0.271299,0.427073
"admin","secondary",0,0.141645,0.000000,0.000000,0.090433,0.481374
"technician","secondary",0,0.147466,0.000000,0.000000,0.090433,0.428496
"admin","secondary",0,0.390009,0.000000,0.000000,0.180866,0.425321
"services","secondary",0,0.206646,0.000000,0.000000,0.090433,0.432054
"blue","secondary",0,0.139705,0.000000,0.000000,0.180866,0.471521
"management","secondary",0,0.120301,0.000000,0.000000,0.180866,0.463365
"blue","secondary",0,0.177541,0.000000,0.000000,0.090433,0.407203
"blue","primary",0,0.315305,0.000000,0.000000,0.090433,0.509345
"management","tertiary",0,0.037837,0.000000,0.000000,0.271299,0.427949
"services","tertiary",0,0.487996,0.000000,0.000000,0.090433,0.426416
"technician","secondary",0,0.092166,0.000000,0.000000,0.271299,0.427839
"blue","primary",0,0.659716,0.000000,0.000000,0.090433,0.419957
"services","tertiary",0,0.408442,0.000000,0.000000,0.271299,0.453348
"management","tertiary",0,0.168810,0.000000,0.000000,0.180866,0.462927
"management","tertiary",0,0.109629,0.000000,0.000000,0.090433,0.435667
"blue","secondary",0,0.783898,0.000000,0.000000,0.090433,0.429044
"admin","secondary",0,0.192094,0.000000,0.000000,0.180866,0.456085
"blue","secondary",0,0.189183,0.000000,0.000000,0.090433,0.425431
"self","tertiary",0,0.336649,0.000000,0.000000,0.180866,0.426909
"admin","secondary",0,0.201795,0.000000,0.000000,0.090433,0.426088
"blue","secondary",0,0.391949,0.000000,0.000000,0.271299,0.427292
"entrepreneur","tertiary",0,0.384188,0.000000,0.000000,0.090433,0.483892
"blue","secondary",0,0.209557,0.000000,0.000000,0.271299,0.436981
"admin","tertiary",0,0.095077,0.000000,0.000000,0.090433,0.446067
"management","tertiary",0,0.339560,0.000000,0.000000,0.090433,0.439827
"services","secondary",0,0.110599,0.000000,0.000000,0.090433,0.494566
"services","secondary",0,0.085375,0.000000,0.000000,0.180866,0.425869
"admin","secondary",0,0.367695,0.000000,0.000000,0.090433,0.432328
"admin","secondary",0,0.184332,0.000000,0.000000,0.180866,0.438021
"technician","tertiary",0,0.153287,0.000000,0.000000,0.000000,0.471466
"admin","secondary",0,0.098957,0.000000,0.000000,0.000000,0.442290
"management","tertiary",0,0.296872,0.000000,0.000000,0.000000,0.425486
"admin","tertiary",0,0.211497,0.000000,0.000000,0.000000,0.430138
"student","secondary",0,0.052389,0.000000,0.000000,0.000000,0.434025
"services","secondary",0,0.333739,0.000000,0.000000,0.000000,0.426635
"admin","secondary",0,0.189183,0.000000,0.000000,0.000000,0.427949
"blue","secondary",0,0.632551,0.000000,0.000000,0.000000,0.496208
"admin","secondary",0,0.277469,0.000000,0.000000,0.000000,0.432109
"blue","tertiary",0,0.183362,0.000000,0.000000,0.000000,0.432602
"blue","secondary",0,0.080524,0.000000,0.000000,0.000000,0.433259
"admin","secondary",0,0.178511,0.000000,0.000000,0.090433,0.446943
"blue","primary",0,0.227990,0.000000,0.000000,0.000000,0.430795
"management","tertiary",0,0.281349,0.000000,0.000000,0.000000,0.425431
"blue","secondary",0,0.225080,0.000000,0.000000,0.000000,0.437692
"blue","secondary",0,0.129033,0.000000,0.000000,0.000000,0.466868
"services","secondary",0,0.308514,0.000000,0.000000,0.000000,0.438842
"management","secondary",0,0.252244,0.000000,0.000000,0.180866,0.889944
"admin","tertiary",0,0.423965,0.000000,0.000000,0.000000,0.444589
"blue","secondary",0,0.390009,0.000000,0.000000,0.000000,0.426526
"services","secondary",0,0.082465,0.000000,0.000000,0.000000,0.516680
"technician","tertiary",0,0.121271,0.000000,0.000000,0.000000,0.444316
"unemployed","secondary",0,0.486055,0.000000,0.000000,0.271299,0.425978
"management","tertiary",1,1.000000,0.000000,0.000000,0.000000,0.470864
"blue","tertiary",0,0.245453,0.000000,0.000000,0.000000,0.427018
"retired","secondary",1,0.999276,0.000000,0.000000,0.000000,0.455264
"technician","tertiary",0,0.144555,0.000000,0.000000,0.000000,0.903300
"technician","tertiary",0,0.110599,0.000000,0.000000,0.000000,0.451541
"admin","secondary",0,0.235751,0.000000,0.000000,0.000000,0.425650
"blue","secondary",0,0.746061,0.000000,0.000000,0.090433,0.491391
"technician","secondary",0,0.130973,0.000000,0.000000,0.180866,0.425431
"admin","secondary",0,0.224109,0.000000,0.000000,0.000000,0.439827
