duration,pdays,previous,campaign,balance,job,education,y
179,-1,0,1,0,management,tertiary,0
787,-1,0,1,-76,admin,secondary,0
145,-1,0,1,-103,technician,secondary,0
174,-1,0,1,243,entrepreneur,tertiary,0
104,-1,0,1,424,management,tertiary,0
13,-1,0,1,306,blue,tertiary,0
185,-1,0,1,24,blue,tertiary,0
1778,-1,0,1,179,services,primary,0
138,-1,0,1,0,admin,tertiary,0
812,-1,0,1,989,technician,secondary,0
164,-1,0,1,249,blue,primary,0
391,-1,0,1,790,services,secondary,0
357,-1,0,1,154,blue,tertiary,0
91,-1,0,1,6530,management,tertiary,0
528,-1,0,1,100,retired,tertiary,0
273,-1,0,1,59,management,tertiary,0
158,-1,0,2,1205,technician,secondary,0
177,-1,0,1,12223,blue,secondary,0
258,-1,0,1,5935,blue,secondary,0
172,-1,0,1,25,services,secondary,0
154,-1,0,1,282,management,secondary,0
291,-1,0,1,23,blue,primary,0
181,-1,0,1,1937,technician,secondary,0
176,-1,0,1,384,technician,secondary,0
211,-1,0,1,582,blue,secondary,0
349,-1,0,1,91,services,secondary,0
272,-1,0,1,0,services,secondary,0
208,-1,0,1,1,services,secondary,0
193,-1,0,1,206,admin,secondary,0
212,-1,0,1,164,services,secondary,0
20,-1,0,1,690,technician,secondary,0
1042,-1,0,1,2343,admin,secondary,1
246,-1,0,1,137,self,tertiary,0
529,-1,0,2,173,blue,primary,0
1467,-1,0,1,45,admin,secondary,1
1389,-1,0,1,1270,technician,secondary,1
188,-1,0,2,16,management,secondary,0
180,-1,0,2,486,retired,secondary,0
48,-1,0,1,50,management,secondary,0
213,-1,0,2,152,technician,secondary,0
583,-1,0,1,290,admin,secondary,0
221,-1,0,1,54,blue,tertiary,0
173,-1,0,1,-37,entrepreneur,secondary,0
426,-1,0,1,101,management,tertiary,0
287,-1,0,1,383,blue,secondary,0
101,-1,0,1,81,retired,tertiary,0
203,-1,0,1,0,technician,secondary,0
197,-1,0,1,229,management,tertiary,0
257,-1,0,1,-674,blue,secondary,0
124,-1,0,1,90,blue,primary,0
229,-1,0,1,128,blue,primary,0
55,-1,0,3,179,blue,primary,0
400,-1,0,1,0,technician,tertiary,0
197,-1,0,1,54,blue,secondary,0
190,-1,0,1,151,technician,tertiary,0
21,-1,0,1,61,admin,secondary,0
514,-1,0,1,30,retired,secondary,0
849,-1,0,2,523,management,tertiary,0
194,-1,0,1,31,services,secondary,0
144,-1,0,1,79,technician,secondary,0
212,-1,0,2,-34,self,primary,0
286,-1,0,1,448,blue,primary,0
107,-1,0,1,81,retired,primary,0
247,-1,0,2,144,blue,secondary,0
518,-1,0,1,351,admin,secondary,0
364,-1,0,1,-67,management,tertiary,0
178,-1,0,1,262,management,tertiary,0
98,-1,0,1,0,technician,primary,0
439,-1,0,1,56,technician,tertiary,0
79,-1,0,1,26,blue,secondary,0
120,-1,0,3,3,admin,tertiary,0
127,-1,0,2,41,services,secondary,0
175,-1,0,1,7,technician,tertiary,0
262,-1,0,2,105,technician,secondary,0
61,-1,0,1,818,admin,secondary,0
78,-1,0,1,-16,services,secondary,0
143,-1,0,1,0,blue,secondary,0
579,-1,0,1,2476,services,secondary,1
677,-1,0,1,1185,management,tertiary,0
345,-1,0,1,217,admin,secondary,0
185,-1,0,1,1685,technician,secondary,0
100,-1,0,2,802,admin,secondary,0
125,-1,0,2,0,unemployed,tertiary,0
193,-1,0,1,94,blue,secondary,0
136,-1,0,1,0,technician,secondary,0
73,-1,0,1,0,services,tertiary,0
528,-1,0,1,517,blue,secondary,0
541,-1,0,1,265,blue,secondary,0
163,-1,0,1,947,housemaid,primary,0
301,-1,0,1,3,self,secondary,0
46,-1,0,1,42,unemployed,tertiary,0
204,-1,0,1,37,blue,secondary,0
98,-1,0,1,57,blue,secondary,0
71,-1,0,1,22,services,secondary,0
157,-1,0,2,8,blue,primary,0
243,-1,0,1,293,unemployed,secondary,0
186,-1,0,2,3,services,primary,0
579,-1,0,2,348,blue,primary,0
163,-1,0,2,-19,blue,tertiary,0
610,-1,0,2,0,student,secondary,0
2033,-1,0,1,-4,management,tertiary,0
85,-1,0,1,18,management,secondary,0
114,-1,0,2,139,technician,primary,0
114,-1,0,2,0,services,secondary,0
57,-1,0,1,1883,blue,tertiary,0
238,-1,0,1,216,retired,secondary,0
93,-1,0,3,782,blue,secondary,0
128,-1,0,2,904,blue,secondary,0
107,-1,0,1,1705,services,tertiary,0
181,-1,0,1,47,technician,tertiary,0
303,-1,0,2,176,services,secondary,0
558,-1,0,5,1225,blue,secondary,0
270,-1,0,1,86,technician,secondary,0
228,-1,0,1,82,admin,secondary,0
99,-1,0,1,271,management,tertiary,0
240,-1,0,1,1378,technician,secondary,0
673,-1,0,2,184,admin,tertiary,1
233,-1,0,3,0,blue,primary,0
1056,-1,0,1,0,blue,secondary,0
250,-1,0,1,1357,services,secondary,0
252,-1,0,1,19,entrepreneur,tertiary,0
138,-1,0,1,434,retired,primary,0
130,-1,0,1,92,admin,secondary,0
412,-1,0,1,1151,admin,secondary,0
179,-1,0,2,41,unemployed,secondary,0
19,-1,0,2,51,technician,secondary,0
458,-1,0,2,214,services,secondary,0
717,-1,0,1,1161,management,secondary,0
313,-1,0,1,37,services,tertiary,0
683,-1,0,2,787,technician,secondary,0
1077,-1,0,1,59,services,secondary,0
416,-1,0,1,253,technician,secondary,0
146,-1,0,2,211,admin,tertiary,0
167,-1,0,1,235,retired,primary,0
315,-1,0,1,4384,services,tertiary,0
140,-1,0,1,4080,management,secondary,0
346,-1,0,1,53,blue,secondary,0
562,-1,0,1,0,management,tertiary,0
172,-1,0,1,2127,retired,secondary,0
217,-1,0,1,377,management,tertiary,0
142,-1,0,2,73,management,tertiary,0
67,-1,0,1,445,admin,secondary,0
291,-1,0,1,243,blue,secondary,0
309,-1,0,2,307,blue,secondary,0
248,-1,0,1,155,services,secondary,0
98,-1,0,1,173,technician,tertiary,0
256,-1,0,1,400,management,tertiary,0
82,-1,0,2,1428,blue,primary,0
577,-1,0,1,219,admin,secondary,0
286,-1,0,1,7,self,tertiary,0
477,-1,0,1,575,blue,secondary,0
611,-1,0,2,298,student,tertiary,0
471,-1,0,1,0,services,secondary,0
381,-1,0,2,5699,services,secondary,0
42,-1,0,1,176,management,tertiary,0
251,-1,0,1,517,management,tertiary,0
408,-1,0,1,257,services,tertiary,0
215,-1,0,1,56,retired,secondary,0
287,-1,0,1,-390,blue,secondary,0
216,-1,0,2,330,retired,secondary,0
366,-1,0,2,195,housemaid,primary,0
210,-1,0,1,301,services,secondary,0
288,-1,0,1,-41,blue,primary,0
168,-1,0,1,483,technician,tertiary,0
338,-1,0,2,28,self,tertiary,0
410,-1,0,3,13,unemployed,tertiary,0
177,-1,0,1,965,housemaid,primary,0
127,-1,0,2,378,management,tertiary,0
357,-1,0,1,219,unemployed,secondary,0
175,-1,0,1,324,blue,primary,0
300,-1,0,1,-69,entrepreneur,secondary,0
136,-1,0,1,0,retired,secondary,0
1419,-1,0,1,205,technician,tertiary,0
125,-1,0,2,278,blue,primary,0
213,-1,0,3,1065,management,tertiary,0
27,-1,0,1,34,management,tertiary,0
238,-1,0,2,1033,blue,tertiary,0
124,-1,0,1,1467,services,secondary,0
18,-1,0,1,-12,blue,primary,0
730,-1,0,2,388,services,secondary,0
746,-1,0,2,294,entrepreneur,secondary,0
121,-1,0,1,1827,blue,tertiary,0
247,-1,0,1,627,blue,primary,0
40,-1,0,1,25,blue,primary,0
181,-1,0,2,315,admin,secondary,0
79,-1,0,1,0,blue,primary,0
206,-1,0,1,66,admin,secondary,0
389,-1,0,1,-9,blue,primary,0
127,-1,0,1,349,technician,secondary,0
702,-1,0,1,100,entrepreneur,tertiary,0
151,-1,0,1,0,admin,secondary,0
117,-1,0,1,434,technician,secondary,0
232,-1,0,3,3237,management,tertiary,0
408,-1,0,2,275,management,tertiary,0
179,-1,0,2,0,blue,secondary,0
39,-1,0,1,207,management,tertiary,0
282,-1,0,1,483,blue,secondary,0
714,-1,0,2,2248,services,secondary,0
50,-1,0,1,428,admin,secondary,0
181,-1,0,1,0,blue,secondary,0
142,-1,0,1,0,services,secondary,0
227,-1,0,1,140,technician,secondary,0
119,-1,0,1,297,management,tertiary,0
361,-1,0,1,279,blue,primary,0
73,-1,0,3,901,entrepreneur,secondary,0
67,-1,0,2,2573,technician,secondary,0
350,-1,0,1,143,services,secondary,0
332,-1,0,2,475,blue,secondary,0
611,-1,0,2,70,blue,secondary,0
113,-1,0,2,318,management,tertiary,0
132,-1,0,1,275,technician,secondary,0
58,-1,0,3,742,management,tertiary,0
151,-1,0,1,236,entrepreneur,primary,0
89,-1,0,2,25,student,tertiary,0
152,-1,0,1,600,management,tertiary,0
611,-1,0,2,-349,admin,secondary,0
110,-1,0,2,183,blue,primary,0
463,-1,0,1,0,blue,primary,0
562,-1,0,2,0,management,tertiary,1
962,-1,0,1,0,blue,primary,0
10,-1,0,4,1078,technician,secondary,0
118,-1,0,3,155,entrepreneur,secondary,0
92,-1,0,2,190,admin,secondary,0
143,-1,0,3,319,retired,secondary,0
189,-1,0,3,-185,services,secondary,0
234,-1,0,2,47,services,secondary,0
75,-1,0,2,570,services,secondary,0
189,-1,0,2,19,self,tertiary,0
621,-1,0,3,61,blue,primary,0
55,-1,0,2,-62,admin,secondary,0
310,-1,0,4,258,technician,tertiary,0
156,-1,0,2,76,blue,primary,0
5,-1,0,2,0,blue,secondary,0
225,-1,0,2,352,admin,secondary,0
125,-1,0,2,368,admin,secondary,0
2,-1,0,3,339,technician,tertiary,0
286,-1,0,2,1331,blue,secondary,0
164,-1,0,2,672,self,secondary,0
98,-1,0,2,58,management,tertiary,0
742,-1,0,2,447,technician,tertiary,0
226,-1,0,3,423,student,secondary,0
120,-1,0,2,0,management,tertiary,0
362,-1,0,4,19,technician,secondary,0
357,-1,0,2,13,technician,primary,0
200,-1,0,2,3,blue,secondary,0
204,-1,0,2,82,student,secondary,0
126,-1,0,3,28,blue,primary,0
65,-1,0,2,792,technician,secondary,0
107,-1,0,2,408,blue,tertiary,0
267,-1,0,2,531,admin,secondary,0
248,-1,0,2,211,retired,secondary,0
215,-1,0,2,62,services,secondary,0
209,-1,0,2,257,services,tertiary,0
205,-1,0,2,1234,technician,secondary,0
83,-1,0,2,313,management,tertiary,0
106,-1,0,3,89,blue,secondary,0
189,-1,0,2,129,blue,secondary,0
105,-1,0,2,0,management,tertiary,0
106,-1,0,2,353,admin,secondary,0
108,-1,0,2,851,technician,tertiary,0
311,-1,0,2,96,services,primary,0
214,-1,0,2,398,services,secondary,0
132,-1,0,2,193,admin,tertiary,0
358,-1,0,2,-358,admin,secondary,0
453,-1,0,2,539,blue,secondary,0
364,-1,0,2,0,technician,secondary,0
136,-1,0,2,0,retired,primary,0
386,-1,0,2,490,blue,secondary,0
173,-1,0,2,0,blue,secondary,0
241,-1,0,2,403,blue,tertiary,0
224,-1,0,3,161,management,secondary,0
148,-1,0,2,2558,technician,tertiary,0
196,-1,0,2,98,admin,secondary,0
111,-1,0,4,115,management,tertiary,0
231,-1,0,3,436,blue,secondary,0
316,-1,0,3,831,technician,tertiary,0
216,-1,0,3,206,technician,tertiary,0
240,-1,0,2,290,blue,secondary,0
669,-1,0,3,1,blue,secondary,0
425,-1,0,2,57,blue,tertiary,0
143,-1,0,2,-457,blue,secondary,0
174,-1,0,5,1387,management,tertiary,0
313,-1,0,3,24598,management,tertiary,0
135,-1,0,4,30,blue,secondary,0
146,-1,0,2,1022,admin,secondary,0
152,-1,0,2,56,technician,secondary,0
402,-1,0,3,-2,admin,secondary,0
213,-1,0,2,121,services,secondary,0
144,-1,0,3,842,blue,secondary,0
124,-1,0,3,693,management,secondary,0
183,-1,0,2,-333,blue,secondary,0
325,-1,0,2,1533,blue,primary,0
39,-1,0,4,46,management,tertiary,0
503,-1,0,2,18,services,tertiary,0
95,-1,0,4,44,technician,secondary,0
680,-1,0,2,-100,blue,primary,0
421,-1,0,4,510,services,tertiary,0
174,-1,0,3,685,management,tertiary,0
113,-1,0,2,187,management,tertiary,0
808,-1,0,2,66,blue,secondary,0
198,-1,0,3,560,admin,secondary,0
195,-1,0,2,0,blue,secondary,0
347,-1,0,3,27,self,tertiary,0
208,-1,0,2,12,admin,secondary,0
404,-1,0,4,34,blue,secondary,0
396,-1,0,2,1068,entrepreneur,tertiary,0
216,-1,0,4,211,blue,secondary,0
98,-1,0,2,377,admin,tertiary,0
350,-1,0,2,263,management,tertiary,0
114,-1,0,2,1263,services,secondary,0
88,-1,0,3,8,services,secondary,0
379,-1,0,2,126,admin,secondary,0
190,-1,0,3,230,admin,secondary,0
158,-1,0,1,841,technician,tertiary,0
102,-1,0,1,308,admin,secondary,0
306,-1,0,1,1,management,tertiary,0
218,-1,0,1,86,admin,tertiary,0
54,-1,0,1,157,student,secondary,0
344,-1,0,1,22,services,secondary,0
195,-1,0,1,46,admin,secondary,0
652,-1,0,1,1293,blue,secondary,0
286,-1,0,1,122,admin,secondary,0
189,-1,0,1,131,blue,tertiary,0
83,-1,0,1,143,blue,secondary,0
184,-1,0,2,393,admin,secondary,0
235,-1,0,1,98,blue,primary,0
290,-1,0,1,0,management,tertiary,0
232,-1,0,1,224,blue,secondary,0
133,-1,0,1,757,blue,secondary,0
318,-1,0,1,245,services,secondary,0
260,-1,0,3,8486,management,secondary,0
437,-1,0,1,350,admin,tertiary,0
402,-1,0,1,20,blue,secondary,0
85,-1,0,1,1667,services,secondary,0
125,-1,0,1,345,technician,tertiary,0
501,-1,0,4,10,unemployed,secondary,0
1201,-1,0,1,830,management,tertiary,1
253,-1,0,1,29,blue,tertiary,0
1030,-1,0,1,545,retired,secondary,1
149,-1,0,1,8730,technician,tertiary,0
114,-1,0,1,477,technician,tertiary,0
243,-1,0,1,4,admin,secondary,0
769,-1,0,2,1205,blue,secondary,0
135,-1,0,3,0,technician,secondary,0
231,-1,0,1,263,admin,secondary,0
76,-1,0,1,1,admin,secondary,0
199,-1,0,1,283,blue,secondary,0
152,-1,0,1,206,blue,primary,0
124,-1,0,1,17,housemaid,primary,0
424,-1,0,1,141,technician,secondary,0
43,-1,0,1,16,self,tertiary,0
154,-1,0,1,206,services,secondary,0
203,-1,0,2,7,technician,tertiary,0
326,-1,0,1,0,management,tertiary,0
393,-1,0,1,0,retired,tertiary,0
241,-1,0,3,1927,blue,primary,0
483,-1,0,1,284,technician,secondary,0
259,-1,0,1,1660,blue,secondary,0
227,-1,0,1,406,services,secondary,0
673,-1,0,1,230,blue,primary,0
576,-1,0,1,-25,admin,secondary,0
180,-1,0,2,182,admin,secondary,0
168,-1,0,2,1169,entrepreneur,tertiary,0
90,-1,0,1,67,admin,secondary,0
505,-1,0,1,77,technician,secondary,0
245,-1,0,1,0,unemployed,secondary,0
186,-1,0,1,55,blue,primary,0
623,-1,0,1,72,technician,secondary,0
496,-1,0,3,163,management,tertiary,0
118,-1,0,1,151,management,tertiary,0
342,-1,0,1,113,admin,secondary,0
225,-1,0,1,0,blue,secondary,0
185,-1,0,3,9,technician,tertiary,0
196,-1,0,2,375,management,secondary,0
276,-1,0,1,1142,services,secondary,0
76,-1,0,1,2102,blue,primary,0
87,-1,0,1,4325,technician,tertiary,0
195,-1,0,1,217,blue,secondary,0
744,-1,0,1,131,admin,secondary,0
765,-1,0,1,1680,management,tertiary,0
262,-1,0,1,0,blue,secondary,0
119,-1,0,1,46,blue,primary,0
198,-1,0,2,320,blue,secondary,0
150,-1,0,1,183,admin,secondary,0
241,-1,0,1,39,blue,secondary,0
181,-1,0,1,560,management,tertiary,0
196,-1,0,1,469,technician,secondary,0
149,-1,0,1,530,admin,secondary,0
246,-1,0,1,61,services,primary,0
112,-1,0,1,242,technician,tertiary,0
309,-1,0,2,139,blue,secondary,0
278,-1,0,1,0,self,secondary,0
140,-1,0,1,367,technician,secondary,0
136,-1,0,1,228,admin,secondary,0
1623,-1,0,1,45248,technician,tertiary,1
101,-1,0,1,-84,self,tertiary,0
144,-1,0,1,310,services,secondary,0
238,-1,0,1,132,blue,tertiary,0
354,-1,0,1,797,technician,secondary,0
79,-1,0,1,71,services,secondary,0
187,-1,0,1,2,management,tertiary,0
451,-1,0,2,231,management,tertiary,0
159,-1,0,1,270,blue,secondary,0
409,-1,0,1,274,blue,secondary,0
170,-1,0,1,-109,admin,secondary,0
608,-1,0,1,1,technician,secondary,1
243,-1,0,1,-60,blue,secondary,0
145,-1,0,2,89,blue,secondary,0
112,-1,0,1,-11,blue,secondary,0
262,-1,0,2,0,blue,primary,0
124,-1,0,1,-509,blue,secondary,0
53,-1,0,1,408,unemployed,primary,0
134,-1,0,1,58,services,primary,0
204,-1,0,4,1640,retired,secondary,0
186,-1,0,1,20,admin,secondary,0
678,-1,0,1,71,blue,primary,0
182,-1,0,1,52,blue,secondary,0
162,-1,0,1,292,self,tertiary,0
27,-1,0,1,424,services,secondary,0
699,-1,0,3,109,housemaid,primary,0
43,-1,0,1,1044,blue,tertiary,0
97,-1,0,1,983,blue,secondary,0
1677,-1,0,1,869,admin,secondary,1
283,-1,0,2,668,blue,primary,0
323,-1,0,1,964,management,tertiary,0
82,-1,0,1,301,management,secondary,0
310,-1,0,1,140,admin,secondary,0
185,-1,0,1,1877,management,secondary,0
47,-1,0,1,1127,blue,primary,0
145,-1,0,1,871,technician,secondary,0
204,-1,0,1,767,technician,secondary,0
187,-1,0,1,0,blue,secondary,0
30,-1,0,2,209,services,secondary,0
472,-1,0,1,0,management,primary,0
448,-1,0,1,110,blue,secondary,0
264,-1,0,1,-76,management,tertiary,0
169,-1,0,1,178,technician,tertiary,0
288,-1,0,1,-66,blue,primary,0
176,-1,0,2,0,technician,secondary,0
215,-1,0,1,1,blue,secondary,0
337,-1,0,1,0,blue,secondary,0
278,-1,0,1,5345,unemployed,tertiary,0
188,-1,0,2,-209,blue,secondary,0
174,-1,0,2,0,admin,secondary,0
226,-1,0,2,42,blue,secondary,0
190,-1,0,1,41,blue,secondary,0
111,-1,0,2,-99,blue,secondary,0
164,-1,0,1,17,technician,secondary,0
157,-1,0,2,276,admin,primary,0
46,-1,0,1,-170,technician,tertiary,0
374,-1,0,1,230,management,tertiary,0
349,-1,0,1,9,blue,secondary,0
325,-1,0,1,946,blue,secondary,0
233,-1,0,2,1297,blue,primary,0
531,-1,0,1,-331,retired,secondary,0
153,-1,0,1,44,blue,secondary,0
80,-1,0,1,15,retired,secondary,0
232,-1,0,1,712,admin,secondary,0
118,-1,0,1,5435,retired,secondary,0
190,-1,0,1,507,admin,secondary,0
918,-1,0,1,387,unemployed,secondary,1
238,-1,0,1,0,blue,primary,0
82,-1,0,1,1716,management,secondary,0
198,-1,0,3,167,entrepreneur,secondary,0
160,-1,0,2,40,admin,tertiary,0
211,-1,0,1,148,blue,primary,0
120,-1,0,1,17,technician,secondary,0
136,-1,0,1,1011,blue,tertiary,0
269,-1,0,1,1527,management,tertiary,0
157,-1,0,1,744,management,tertiary,0
128,-1,0,1,484,admin,secondary,0
211,-1,0,1,0,management,tertiary,0
267,-1,0,2,136,retired,primary,0
371,-1,0,2,1335,blue,secondary,0
288,-1,0,2,517,management,secondary,0
221,-1,0,1,459,management,tertiary,0
427,-1,0,1,549,management,tertiary,0
310,-1,0,1,83,admin,secondary,0
158,-1,0,1,213,blue,primary,0
604,-1,0,3,203,housemaid,primary,0
198,-1,0,1,518,services,secondary,0
145,-1,0,1,3877,management,tertiary,0
247,-1,0,1,1236,admin,secondary,0
179,-1,0,2,756,blue,secondary,0
73,-1,0,1,157,blue,secondary,0
263,-1,0,2,-66,blue,primary,0
13,-1,0,1,245,blue,tertiary,0
79,-1,0,2,-144,blue,primary,0
416,-1,0,1,71,blue,secondary,0
162,-1,0,1,505,services,secondary,0
129,-1,0,1,249,technician,primary,0
150,-1,0,1,0,admin,secondary,0
43,-1,0,1,11,unemployed,secondary,0
191,-1,0,1,639,admin,secondary,0
26,-1,0,1,124,blue,tertiary,0
250,-1,0,1,82,blue,secondary,0
146,-1,0,1,107,self,tertiary,0
416,-1,0,1,473,services,secondary,0
121,-1,0,2,372,services,secondary,0
114,-1,0,2,46,admin,secondary,0
289,-1,0,1,34,student,tertiary,0
225,-1,0,1,935,self,tertiary,0
123,-1,0,1,-10,blue,secondary,0
130,-1,0,2,-106,admin,secondary,0
161,-1,0,2,471,services,primary,0
149,-1,0,2,778,admin,secondary,0
268,-1,0,2,170,blue,tertiary,0
259,-1,0,2,315,technician,secondary,0
26,-1,0,1,3165,blue,secondary,0
153,-1,0,1,131,admin,secondary,0
424,-1,0,2,204,entrepreneur,secondary,0
179,-1,0,2,83,technician,secondary,0
97,-1,0,1,0,services,secondary,0
383,-1,0,1,5431,blue,primary,0
440,-1,0,1,1759,management,tertiary,0
23,-1,0,1,-125,unemployed,secondary,0
195,-1,0,1,0,blue,secondary,0
1297,-1,0,3,5090,services,secondary,1
87,-1,0,1,573,technician,tertiary,0
427,-1,0,1,1602,blue,secondary,0
189,-1,0,1,-137,blue,primary,0
195,-1,0,1,0,technician,tertiary,0
179,-1,0,1,193,services,secondary,0
179,-1,0,1,195,retired,secondary,0
69,-1,0,1,288,entrepreneur,secondary,0
105,-1,0,2,19,technician,secondary,0
266,-1,0,3,25,blue,primary,0
524,-1,0,2,216,services,secondary,0
96,-1,0,2,190,blue,primary,0
155,-1,0,2,99,technician,secondary,0
162,-1,0,2,2298,services,primary,0
352,-1,0,2,17,management,tertiary,0
76,-1,0,4,0,technician,primary,0
154,-1,0,2,0,blue,primary,0
310,-1,0,2,840,blue,secondary,0
390,-1,0,3,358,services,secondary,0
369,-1,0,1,0,technician,secondary,0
112,-1,0,2,-325,blue,primary,0
341,-1,0,3,-15,technician,secondary,0
79,-1,0,1,581,technician,secondary,0
140,-1,0,2,4070,admin,primary,0
315,-1,0,1,74,retired,secondary,0
262,-1,0,2,141,services,secondary,0
174,-1,0,2,89,services,secondary,0
138,-1,0,3,0,services,secondary,0
526,-1,0,2,450,blue,secondary,0
135,-1,0,1,310,technician,tertiary,0
36,-1,0,5,0,self,secondary,0
1906,-1,0,3,384,blue,secondary,0
219,-1,0,2,395,blue,secondary,0
147,-1,0,2,-118,services,tertiary,0
407,-1,0,2,5,blue,primary,0
121,-1,0,1,50,blue,secondary,0
209,-1,0,1,285,blue,secondary,0
92,-1,0,2,15,technician,tertiary,0
208,-1,0,1,653,blue,primary,0
193,-1,0,1,918,self,secondary,0
144,-1,0,1,243,services,secondary,0
65,-1,0,1,405,technician,tertiary,0
339,-1,0,1,1328,management,tertiary,0
285,-1,0,1,255,services,primary,0
231,-1,0,1,3397,blue,secondary,0
168,-1,0,1,2106,technician,tertiary,0
278,-1,0,1,2877,management,tertiary,0
389,-1,0,1,60,blue,tertiary,0
158,-1,0,1,2226,blue,primary,0
145,-1,0,2,2880,blue,primary,0
78,-1,0,2,-5,technician,tertiary,0
142,-1,0,3,147,technician,secondary,0
87,-1,0,1,7,technician,secondary,0
147,-1,0,2,109,technician,secondary,0
289,-1,0,1,-119,retired,primary,0
703,-1,0,1,484,technician,secondary,1
170,-1,0,3,1852,management,tertiary,0
802,-1,0,1,533,unemployed,secondary,0
381,-1,0,2,21,technician,secondary,0
218,-1,0,4,2434,admin,tertiary,0
57,-1,0,2,90,technician,secondary,0
304,-1,0,2,4246,admin,tertiary,0
241,-1,0,3,395,admin,tertiary,0
230,-1,0,1,15,blue,primary,0
262,-1,0,3,85,services,tertiary,0
392,-1,0,2,-184,entrepreneur,tertiary,0
201,-1,0,2,660,services,secondary,0
145,-1,0,1,-183,blue,primary,0
252,-1,0,1,1144,unemployed,secondary,0
235,-1,0,4,1,services,secondary,0
235,-1,0,2,69,admin,secondary,0
328,-1,0,2,220,management,secondary,0
116,-1,0,2,332,blue,primary,0
246,-1,0,1,240,blue,secondary,0
293,-1,0,1,0,technician,secondary,0
37,-1,0,2,0,unemployed,secondary,0
132,-1,0,2,898,entrepreneur,tertiary,0
530,-1,0,2,123,technician,secondary,0
175,-1,0,3,252,student,secondary,0
524,-1,0,2,65,management,tertiary,0
29,-1,0,3,-366,technician,secondary,0
311,-1,0,2,209,student,secondary,0
211,-1,0,2,221,admin,secondary,0
312,-1,0,3,4,self,tertiary,0
412,-1,0,1,104,admin,secondary,0
392,-1,0,1,312,technician,secondary,0
191,-1,0,1,-349,blue,secondary,0
284,-1,0,2,4,services,tertiary,0
144,-1,0,1,-322,blue,primary,0
328,-1,0,1,-150,admin,secondary,0
100,-1,0,1,1349,management,tertiary,0
226,-1,0,1,281,admin,tertiary,0
507,-1,0,1,1259,services,secondary,0
392,-1,0,1,101,admin,secondary,0
684,-1,0,2,848,blue,secondary,0
333,-1,0,2,89,entrepreneur,tertiary,0
311,-1,0,3,140,blue,secondary,0
128,-1,0,2,148,admin,secondary,0
322,-1,0,2,200,technician,secondary,0
202,-1,0,4,46,self,primary,0
92,-1,0,2,201,services,secondary,0
739,-1,0,3,530,blue,primary,0
273,-1,0,2,0,blue,secondary,0
260,-1,0,3,1,self,secondary,0
268,-1,0,2,43,blue,secondary,0
396,-1,0,2,-173,management,tertiary,0
262,-1,0,1,389,management,tertiary,0
308,-1,0,3,215,blue,primary,0
467,-1,0,2,-131,technician,secondary,0
320,-1,0,1,783,management,secondary,0
160,-1,0,3,0,admin,secondary,0
245,-1,0,2,80,services,tertiary,0
189,-1,0,2,105,services,secondary,0
477,-1,0,1,182,admin,secondary,0
310,-1,0,1,82,admin,secondary,0
65,-1,0,3,0,management,tertiary,0
196,-1,0,2,510,services,secondary,0
221,-1,0,2,242,management,tertiary,0
197,-1,0,2,244,admin,secondary,0
221,-1,0,2,92,management,tertiary,0
